,minor,important,full,all
AdaBoostClassifier,1.1010243063606417e-29,1.3217931228061735e-05,2.113917253934148e-09,0.0003646359924425553
GradientBoostingClassifier,6.3307083916875105e-37,7.215132271660955e-22,3.3767047311900446e-15,2.3356710624051635e-23
RandomForestClassifier,3.27960843203435e-39,2.6386705518674597e-25,4.1859758389311255e-19,4.7200965650490656e-29
ExtraTreesClassifier,2.295391350587201e-38,1.3455912465393375e-23,2.3108549836250205e-22,2.373452811199227e-30
SupervisedDBNClassification,2.0557083471587965e-07,2.342126144603813e-09,7.71930990483429e-08,3.3939273124718444e-18
SVC,0.0004241933678433019,3.2596077361455846e-19,2.286901018824617e-16,5.887649708576831e-20
OrderedModel,4.387441756160583e-26,0.00021413673282739254,1.4093135534119914e-12,1.351289852738728e-07
