,AdaBoostClassifier,GradientBoostingClassifier,RandomForestClassifier,ExtraTreesClassifier,SVC,OrderedModel
0,0.6777777777777778,0.7055555555555556,0.7,0.7,0.5,0.6277777777777778
1,0.6111111111111112,0.6944444444444444,0.7055555555555556,0.6666666666666666,0.45555555555555555,0.6444444444444445
2,0.6388888888888888,0.6666666666666666,0.7055555555555556,0.7277777777777777,0.5722222222222222,0.65
3,0.6333333333333333,0.6777777777777778,0.6777777777777778,0.7222222222222222,0.5444444444444444,0.6388888888888888
4,0.6833333333333333,0.7,0.7166666666666667,0.7333333333333333,0.45555555555555555,0.6388888888888888
5,0.6611111111111111,0.75,0.7055555555555556,0.7222222222222222,0.37777777777777777,0.6222222222222222
6,0.7055555555555556,0.7277777777777777,0.6888888888888889,0.7111111111111111,0.5055555555555555,0.6222222222222222
7,0.6333333333333333,0.7111111111111111,0.6833333333333333,0.6833333333333333,0.46111111111111114,0.6111111111111112
8,0.6611111111111111,0.7,0.7,0.7,0.42777777777777776,0.6333333333333333
9,0.6722222222222223,0.7222222222222222,0.7277777777777777,0.7277777777777777,0.55,0.6277777777777778
10,0.6722222222222223,0.6833333333333333,0.6833333333333333,0.7444444444444445,0.39444444444444443,0.6166666666666667
11,0.6,0.7,0.7,0.7055555555555556,0.4777777777777778,0.6333333333333333
12,0.6111111111111112,0.6833333333333333,0.7277777777777777,0.7444444444444445,0.5,0.6611111111111111
13,0.6388888888888888,0.7222222222222222,0.7166666666666667,0.7388888888888889,0.5388888888888889,0.6277777777777778
14,0.6944444444444444,0.6944444444444444,0.7111111111111111,0.6833333333333333,0.5444444444444444,0.5944444444444444
15,0.6222222222222222,0.7277777777777777,0.7277777777777777,0.7166666666666667,0.6055555555555555,0.6166666666666667
16,0.6777777777777778,0.7166666666666667,0.75,0.7388888888888889,0.5277777777777778,0.6277777777777778
17,0.6555555555555556,0.7222222222222222,0.7277777777777777,0.75,0.5388888888888889,0.6333333333333333
18,0.6,0.6666666666666666,0.7,0.7055555555555556,0.4222222222222222,0.6
19,0.6666666666666666,0.7055555555555556,0.7333333333333333,0.7333333333333333,0.5555555555555556,0.65
20,0.6333333333333333,0.6388888888888888,0.6222222222222222,0.6166666666666667,0.5444444444444444,0.6388888888888888
21,0.6666666666666666,0.6888888888888889,0.6722222222222223,0.6555555555555556,0.6055555555555555,0.6277777777777778
22,0.7,0.7388888888888889,0.7388888888888889,0.7388888888888889,0.5555555555555556,0.6333333333333333
23,0.6666666666666666,0.7277777777777777,0.7388888888888889,0.7277777777777777,0.5277777777777778,0.6277777777777778
24,0.65,0.7,0.6944444444444444,0.7222222222222222,0.5055555555555555,0.6222222222222222
25,0.6833333333333333,0.7277777777777777,0.7444444444444445,0.7277777777777777,0.46111111111111114,0.6166666666666667
26,0.6333333333333333,0.7277777777777777,0.7277777777777777,0.7166666666666667,0.5944444444444444,0.6277777777777778
27,0.6666666666666666,0.6833333333333333,0.7222222222222222,0.7222222222222222,0.48333333333333334,0.6611111111111111
28,0.6666666666666666,0.6777777777777778,0.6888888888888889,0.7111111111111111,0.5222222222222223,0.6388888888888888
29,0.6666666666666666,0.6888888888888889,0.7277777777777777,0.7277777777777777,0.4222222222222222,0.6055555555555555
30,0.6833333333333333,0.7055555555555556,0.7277777777777777,0.7,0.5222222222222223,0.6388888888888888
31,0.6555555555555556,0.6833333333333333,0.7,0.7,0.55,0.6444444444444445
32,0.6166666666666667,0.6888888888888889,0.6777777777777778,0.7,0.5166666666666667,0.6111111111111112
33,0.6722222222222223,0.7055555555555556,0.7277777777777777,0.7,0.5,0.6277777777777778
34,0.6333333333333333,0.6611111111111111,0.6722222222222223,0.7055555555555556,0.48333333333333334,0.6222222222222222
35,0.65,0.7111111111111111,0.7222222222222222,0.7222222222222222,0.5722222222222222,0.6444444444444445
36,0.6277777777777778,0.7333333333333333,0.7666666666666667,0.7333333333333333,0.5166666666666667,0.6444444444444445
37,0.6666666666666666,0.7222222222222222,0.7555555555555555,0.7722222222222223,0.5055555555555555,0.6388888888888888
38,0.6666666666666666,0.7,0.7277777777777777,0.7111111111111111,0.4444444444444444,0.6388888888888888
39,0.65,0.7,0.7111111111111111,0.6833333333333333,0.5166666666666667,0.6222222222222222
40,0.6611111111111111,0.6888888888888889,0.6777777777777778,0.7388888888888889,0.5,0.6555555555555556
41,0.6444444444444445,0.6833333333333333,0.6555555555555556,0.6722222222222223,0.5222222222222223,0.6388888888888888
42,0.65,0.7444444444444445,0.7333333333333333,0.7388888888888889,0.55,0.6277777777777778
43,0.65,0.6944444444444444,0.6777777777777778,0.7222222222222222,0.5,0.6277777777777778
44,0.6611111111111111,0.7333333333333333,0.7166666666666667,0.7166666666666667,0.5666666666666667,0.6388888888888888
45,0.6666666666666666,0.6555555555555556,0.6555555555555556,0.6944444444444444,0.5777777777777777,0.6722222222222223
46,0.65,0.7,0.6777777777777778,0.7388888888888889,0.45555555555555555,0.6277777777777778
47,0.6222222222222222,0.6666666666666666,0.6722222222222223,0.6611111111111111,0.5888888888888889,0.6166666666666667
48,0.6555555555555556,0.6611111111111111,0.6555555555555556,0.6666666666666666,0.5444444444444444,0.6277777777777778
49,0.6222222222222222,0.7111111111111111,0.7111111111111111,0.7611111111111111,0.5222222222222223,0.6277777777777778
