,AdaBoostClassifier,GradientBoostingClassifier,RandomForestClassifier,ExtraTreesClassifier,SupervisedDBNClassification,SVC
0,0.688,0.672,0.704,0.648,0.488,0.632
1,0.696,0.712,0.624,0.616,0.512,0.624
2,0.592,0.616,0.712,0.696,0.48,0.552
3,0.704,0.68,0.696,0.68,0.472,0.536
4,0.648,0.68,0.704,0.664,0.496,0.544
5,0.664,0.576,0.64,0.584,0.416,0.576
6,0.648,0.64,0.648,0.616,0.488,0.576
7,0.656,0.64,0.656,0.728,0.464,0.664
8,0.624,0.704,0.68,0.616,0.464,0.672
9,0.56,0.592,0.68,0.616,0.408,0.496
10,0.616,0.68,0.68,0.688,0.52,0.592
11,0.664,0.68,0.712,0.648,0.504,0.544
12,0.688,0.752,0.704,0.688,0.496,0.608
13,0.576,0.664,0.664,0.624,0.464,0.664
14,0.584,0.584,0.616,0.656,0.488,0.568
15,0.56,0.584,0.632,0.656,0.416,0.504
16,0.672,0.68,0.68,0.68,0.512,0.608
17,0.584,0.616,0.664,0.64,0.496,0.608
18,0.64,0.632,0.672,0.672,0.424,0.56
19,0.496,0.584,0.592,0.648,0.448,0.552
20,0.6,0.616,0.664,0.648,0.472,0.552
21,0.544,0.6,0.632,0.632,0.408,0.616
22,0.592,0.584,0.648,0.616,0.472,0.544
23,0.608,0.632,0.656,0.648,0.504,0.608
24,0.64,0.656,0.696,0.64,0.464,0.6
25,0.68,0.704,0.712,0.72,0.504,0.6
26,0.608,0.656,0.664,0.696,0.512,0.576
27,0.608,0.584,0.648,0.68,0.432,0.52
28,0.616,0.576,0.664,0.648,0.472,0.56
29,0.624,0.64,0.696,0.656,0.52,0.68
30,0.568,0.672,0.656,0.672,0.432,0.512
31,0.608,0.632,0.688,0.656,0.448,0.512
32,0.64,0.68,0.656,0.696,0.52,0.6
33,0.592,0.648,0.664,0.664,0.496,0.584
34,0.616,0.616,0.68,0.656,0.504,0.624
35,0.584,0.624,0.624,0.712,0.488,0.56
36,0.64,0.672,0.696,0.664,0.472,0.68
37,0.568,0.584,0.616,0.648,0.488,0.52
38,0.592,0.616,0.648,0.616,0.44,0.568
39,0.688,0.632,0.68,0.656,0.464,0.592
40,0.568,0.624,0.624,0.688,0.52,0.6
41,0.592,0.664,0.696,0.664,0.464,0.528
42,0.584,0.656,0.592,0.624,0.456,0.536
43,0.616,0.696,0.704,0.672,0.472,0.64
44,0.608,0.664,0.696,0.736,0.48,0.624
45,0.64,0.664,0.712,0.688,0.472,0.616
46,0.664,0.656,0.664,0.704,0.48,0.528
47,0.544,0.624,0.648,0.632,0.424,0.584
48,0.616,0.664,0.688,0.64,0.504,0.624
49,0.632,0.64,0.68,0.656,0.52,0.552
