,minor,important,full,all
AdaBoostClassifier,6.356158741658131e-23,0.001731319004908902,0.00012222999253936812,0.07442569393691859
GradientBoostingClassifier,3.1283879827134474e-34,3.233642086900697e-11,6.13114794069375e-11,7.672917827131295e-08
RandomForestClassifier,4.5628074639942586e-39,1.7138905444740948e-16,8.34479822902618e-20,6.556872127662423e-26
ExtraTreesClassifier,1.4243781877273256e-38,1.8007903799110982e-19,1.4335776336459615e-18,1.876399581865542e-21
SupervisedDBNClassification,0.0,0.0,0.0,0.0
SVC,9.786690042566444e-24,0.0,0.0,1.5682464820637927e-14
OrderedModel,3.0422236643044798e-25,0.010607511124183486,0.004250046091792348,1.057733159492924e-09
