,Accuracy(%),Accuracy(%),Accuracy(%),Accuracy(%),ROC-AUC,ROC-AUC,ROC-AUC,ROC-AUC
,effective,markedly effective,cured,all,effective,markedly effective,cured,all
AdaBoostClassifier,64.79±3.18,68.38±3.23,80.74±2.97,47.67±3.92,0.69±0.03,0.71±0.04,0.81±0.04,0.75±0.02
GradientBoostingClassifier,68.54±2.44,70.64±2.36,82.23±2.14,57.14±2.7,0.74±0.03,0.76±0.03,0.86±0.03,0.82±0.02
RandomForestClassifier,69.06±3.06,70.89±2.74,82.78±2.12,59.47±3.12,0.76±0.03,0.77±0.02,0.87±0.02,0.83±0.02
ExtraTreesClassifier,67.16±3.1,70.84±2.18,83.06±2.15,57.67±2.67,0.74±0.03,0.76±0.02,0.87±0.02,0.82±0.01
SupervisedDBNClassification,48.49±2.03,63.24±2.46,78.96±2.58,50.56±2.47,0.49±0.04,0.51±0.06,0.52±0.09,0.56±0.13
SVC,61.89±3.55,63.24±2.46,78.96±2.58,50.16±2.33,0.69±0.03,0.69±0.03,0.83±0.03,0.8±0.02
