,AdaBoostClassifier,GradientBoostingClassifier,RandomForestClassifier,ExtraTreesClassifier,SupervisedDBNClassification,SVC,OrderedModel
0,0.37222222222222223,0.43333333333333335,0.4444444444444444,0.4666666666666667,0.2111111111111111,0.3277777777777778,0.37777777777777777
1,0.39444444444444443,0.4722222222222222,0.5888888888888889,0.5388888888888889,0.2611111111111111,0.23333333333333334,0.4111111111111111
2,0.38333333333333336,0.4666666666666667,0.5722222222222222,0.5611111111111111,0.16666666666666666,0.4222222222222222,0.45
3,0.34444444444444444,0.4722222222222222,0.5111111111111111,0.5611111111111111,0.2222222222222222,0.25555555555555554,0.40555555555555556
4,0.4666666666666667,0.4888888888888889,0.5666666666666667,0.5111111111111111,0.2388888888888889,0.23333333333333334,0.3277777777777778
5,0.4722222222222222,0.4722222222222222,0.55,0.5888888888888889,0.16666666666666666,0.3277777777777778,0.37222222222222223
6,0.36666666666666664,0.4444444444444444,0.5388888888888889,0.5277777777777778,0.3055555555555556,0.3333333333333333,0.31666666666666665
7,0.4444444444444444,0.5,0.5777777777777777,0.6166666666666667,0.20555555555555555,0.3611111111111111,0.40555555555555556
8,0.4,0.4722222222222222,0.55,0.55,0.20555555555555555,0.28888888888888886,0.3611111111111111
9,0.37777777777777777,0.5,0.5722222222222222,0.5777777777777777,0.20555555555555555,0.29444444444444445,0.4444444444444444
10,0.4111111111111111,0.49444444444444446,0.5611111111111111,0.5611111111111111,0.16666666666666666,0.37222222222222223,0.4222222222222222
11,0.46111111111111114,0.5111111111111111,0.5722222222222222,0.5555555555555556,0.16666666666666666,0.3611111111111111,0.4111111111111111
12,0.3611111111111111,0.4666666666666667,0.5,0.5277777777777778,0.16666666666666666,0.32222222222222224,0.32222222222222224
13,0.4388888888888889,0.5222222222222223,0.5722222222222222,0.5944444444444444,0.2611111111111111,0.31666666666666665,0.46111111111111114
14,0.43333333333333335,0.5222222222222223,0.5555555555555556,0.5833333333333334,0.18888888888888888,0.3111111111111111,0.38333333333333336
15,0.38333333333333336,0.5111111111111111,0.5833333333333334,0.5722222222222222,0.2611111111111111,0.31666666666666665,0.42777777777777776
16,0.35,0.5111111111111111,0.5277777777777778,0.5777777777777777,0.18888888888888888,0.24444444444444444,0.45
17,0.45555555555555555,0.4722222222222222,0.5666666666666667,0.5333333333333333,0.18888888888888888,0.2833333333333333,0.4111111111111111
18,0.4166666666666667,0.4444444444444444,0.5333333333333333,0.55,0.16111111111111112,0.26666666666666666,0.42777777777777776
19,0.4111111111111111,0.49444444444444446,0.5666666666666667,0.5722222222222222,0.20555555555555555,0.34444444444444444,0.4777777777777778
20,0.4444444444444444,0.5111111111111111,0.5388888888888889,0.55,0.2611111111111111,0.34444444444444444,0.37222222222222223
