,AdaBoostClassifier,GradientBoostingClassifier,RandomForestClassifier,ExtraTreesClassifier,SupervisedDBNClassification,SVC
0,0.45,0.5777777777777777,0.5777777777777777,0.6,0.5222222222222223,0.5222222222222223
1,0.5,0.5166666666666667,0.5277777777777778,0.5444444444444444,0.5,0.5
2,0.39444444444444443,0.5222222222222223,0.5555555555555556,0.5333333333333333,0.48333333333333334,0.48333333333333334
3,0.4888888888888889,0.5444444444444444,0.5277777777777778,0.5333333333333333,0.5277777777777778,0.5277777777777778
4,0.4222222222222222,0.5388888888888889,0.5333333333333333,0.55,0.4777777777777778,0.4777777777777778
5,0.36666666666666664,0.5,0.45555555555555555,0.4777777777777778,0.4666666666666667,0.4666666666666667
6,0.49444444444444446,0.5111111111111111,0.5444444444444444,0.4666666666666667,0.5111111111111111,0.5111111111111111
7,0.35,0.55,0.5666666666666667,0.55,0.5166666666666667,0.5166666666666667
8,0.45,0.5666666666666667,0.5722222222222222,0.5888888888888889,0.5555555555555556,0.5555555555555556
9,0.4777777777777778,0.5333333333333333,0.5222222222222223,0.5166666666666667,0.5055555555555555,0.5055555555555555
10,0.4444444444444444,0.5166666666666667,0.5277777777777778,0.5166666666666667,0.49444444444444446,0.49444444444444446
11,0.4722222222222222,0.5444444444444444,0.5555555555555556,0.5166666666666667,0.5,0.5
12,0.4388888888888889,0.6,0.5944444444444444,0.5611111111111111,0.49444444444444446,0.49444444444444446
13,0.46111111111111114,0.5333333333333333,0.5166666666666667,0.5,0.5055555555555555,0.5055555555555555
14,0.4166666666666667,0.5555555555555556,0.55,0.4888888888888889,0.5333333333333333,0.5333333333333333
15,0.3888888888888889,0.5277777777777778,0.5555555555555556,0.5055555555555555,0.5111111111111111,0.5111111111111111
16,0.5055555555555555,0.5833333333333334,0.5388888888888889,0.4888888888888889,0.5166666666666667,0.5166666666666667
17,0.4111111111111111,0.5444444444444444,0.5333333333333333,0.5,0.5277777777777778,0.5277777777777778
18,0.3611111111111111,0.5222222222222223,0.5166666666666667,0.5222222222222223,0.5111111111111111,0.5111111111111111
19,0.49444444444444446,0.5277777777777778,0.5222222222222223,0.5444444444444444,0.49444444444444446,0.49444444444444446
20,0.45,0.5055555555555555,0.5388888888888889,0.55,0.5055555555555555,0.5055555555555555
21,0.42777777777777776,0.5611111111111111,0.5333333333333333,0.4722222222222222,0.5055555555555555,0.5055555555555555
22,0.5,0.5611111111111111,0.5722222222222222,0.55,0.5277777777777778,0.5277777777777778
23,0.45555555555555555,0.5,0.5166666666666667,0.5,0.48333333333333334,0.48333333333333334
24,0.4777777777777778,0.5722222222222222,0.5166666666666667,0.5166666666666667,0.5222222222222223,0.5222222222222223
25,0.36666666666666664,0.5111111111111111,0.5,0.5055555555555555,0.4888888888888889,0.4888888888888889
26,0.4722222222222222,0.4888888888888889,0.5055555555555555,0.5333333333333333,0.5,0.5
27,0.4777777777777778,0.5333333333333333,0.5222222222222223,0.5055555555555555,0.4666666666666667,0.4666666666666667
28,0.45,0.5111111111111111,0.5444444444444444,0.55,0.4777777777777778,0.4777777777777778
29,0.4888888888888889,0.46111111111111114,0.55,0.5222222222222223,0.4888888888888889,0.4888888888888889
30,0.5,0.5444444444444444,0.5055555555555555,0.5722222222222222,0.5555555555555556,0.5555555555555556
31,0.3888888888888889,0.49444444444444446,0.5055555555555555,0.5055555555555555,0.5333333333333333,0.5333333333333333
32,0.45,0.5555555555555556,0.5277777777777778,0.5444444444444444,0.5111111111111111,0.5111111111111111
33,0.37222222222222223,0.46111111111111114,0.5055555555555555,0.5111111111111111,0.48333333333333334,0.48333333333333334
34,0.4444444444444444,0.5388888888888889,0.5111111111111111,0.5,0.5277777777777778,0.5277777777777778
35,0.45555555555555555,0.5388888888888889,0.5333333333333333,0.5,0.4722222222222222,0.4722222222222222
36,0.43333333333333335,0.5222222222222223,0.5555555555555556,0.5166666666666667,0.5222222222222223,0.5222222222222223
37,0.5,0.5555555555555556,0.5444444444444444,0.48333333333333334,0.5055555555555555,0.5055555555555555
38,0.4666666666666667,0.5444444444444444,0.5222222222222223,0.5333333333333333,0.5166666666666667,0.5166666666666667
39,0.49444444444444446,0.5333333333333333,0.5388888888888889,0.5333333333333333,0.4666666666666667,0.4666666666666667
40,0.48333333333333334,0.5333333333333333,0.5444444444444444,0.5277777777777778,0.4666666666666667,0.4666666666666667
41,0.4444444444444444,0.5555555555555556,0.5777777777777777,0.5722222222222222,0.5333333333333333,0.5333333333333333
42,0.46111111111111114,0.5722222222222222,0.5222222222222223,0.5333333333333333,0.5222222222222223,0.5222222222222223
43,0.48333333333333334,0.5777777777777777,0.5444444444444444,0.5388888888888889,0.5444444444444444,0.5444444444444444
44,0.4166666666666667,0.55,0.5111111111111111,0.5222222222222223,0.49444444444444446,0.49444444444444446
45,0.4722222222222222,0.5722222222222222,0.5277777777777778,0.48333333333333334,0.46111111111111114,0.46111111111111114
46,0.46111111111111114,0.5166666666666667,0.5277777777777778,0.5277777777777778,0.5166666666666667,0.5166666666666667
47,0.48333333333333334,0.5611111111111111,0.5611111111111111,0.5888888888888889,0.5555555555555556,0.5555555555555556
48,0.45555555555555555,0.4722222222222222,0.4888888888888889,0.4722222222222222,0.4666666666666667,0.4666666666666667
49,0.5222222222222223,0.5388888888888889,0.5444444444444444,0.5222222222222223,0.5,0.5
