,AdaBoostClassifier,GradientBoostingClassifier,RandomForestClassifier,ExtraTreesClassifier,SupervisedDBNClassification,SVC,OrderedModel
0,0.6277777777777778,0.6666666666666666,0.7111111111111111,0.7388888888888889,0.36666666666666664,0.5333333333333333,0.6222222222222222
1,0.65,0.6777777777777778,0.6888888888888889,0.6777777777777778,0.36666666666666664,0.5666666666666667,0.6777777777777778
2,0.6277777777777778,0.6722222222222223,0.6888888888888889,0.6833333333333333,0.36666666666666664,0.5944444444444444,0.6888888888888889
3,0.6444444444444445,0.7,0.6666666666666666,0.7333333333333333,0.36666666666666664,0.5055555555555555,0.6666666666666666
4,0.7,0.7055555555555556,0.6833333333333333,0.7333333333333333,0.6333333333333333,0.48333333333333334,0.6444444444444445
5,0.6722222222222223,0.7111111111111111,0.7,0.7277777777777777,0.6333333333333333,0.5888888888888889,0.6666666666666666
6,0.7,0.7166666666666667,0.7055555555555556,0.6722222222222223,0.6333333333333333,0.5888888888888889,0.6222222222222222
7,0.6777777777777778,0.7,0.7,0.6944444444444444,0.36666666666666664,0.5777777777777777,0.65
8,0.6055555555555555,0.6944444444444444,0.6944444444444444,0.6722222222222223,0.6333333333333333,0.5888888888888889,0.6611111111111111
9,0.6833333333333333,0.7277777777777777,0.7,0.7,0.5833333333333334,0.36666666666666664,0.6944444444444444
10,0.6555555555555556,0.6388888888888888,0.7055555555555556,0.7222222222222222,0.36666666666666664,0.5277777777777778,0.6666666666666666
11,0.6166666666666667,0.6944444444444444,0.6888888888888889,0.7166666666666667,0.36666666666666664,0.4,0.6388888888888888
12,0.6444444444444445,0.7055555555555556,0.7055555555555556,0.7222222222222222,0.36666666666666664,0.45555555555555555,0.7
13,0.6277777777777778,0.7,0.7166666666666667,0.7277777777777777,0.6333333333333333,0.46111111111111114,0.65
14,0.6888888888888889,0.7055555555555556,0.7111111111111111,0.6777777777777778,0.6333333333333333,0.5166666666666667,0.6555555555555556
15,0.6333333333333333,0.7111111111111111,0.7055555555555556,0.6888888888888889,0.36666666666666664,0.4888888888888889,0.6277777777777778
16,0.6555555555555556,0.7444444444444445,0.7444444444444445,0.7277777777777777,0.36666666666666664,0.4,0.6277777777777778
