,AdaBoostClassifier,GradientBoostingClassifier,RandomForestClassifier,ExtraTreesClassifier,SupervisedDBNClassification,SVC,OrderedModel
0,0.5,0.6,0.5888888888888889,0.5722222222222222,0.12777777777777777,0.4111111111111111,0.5055555555555555
1,0.4388888888888889,0.5777777777777777,0.6111111111111112,0.5888888888888889,0.12777777777777777,0.40555555555555556,0.5111111111111111
2,0.45,0.5833333333333334,0.5888888888888889,0.5277777777777778,0.5055555555555555,0.3277777777777778,0.5055555555555555
3,0.55,0.6166666666666667,0.6277777777777778,0.5888888888888889,0.15555555555555556,0.42777777777777776,0.5
4,0.5888888888888889,0.55,0.6055555555555555,0.6,0.15555555555555556,0.3888888888888889,0.5055555555555555
5,0.5444444444444444,0.6055555555555555,0.5833333333333334,0.5888888888888889,0.2111111111111111,0.29444444444444445,0.5222222222222223
6,0.4388888888888889,0.5222222222222223,0.5666666666666667,0.5611111111111111,0.15555555555555556,0.43333333333333335,0.4888888888888889
7,0.4722222222222222,0.5944444444444444,0.5722222222222222,0.5388888888888889,0.5055555555555555,0.29444444444444445,0.5
8,0.43333333333333335,0.5222222222222223,0.5666666666666667,0.5777777777777777,0.15555555555555556,0.4222222222222222,0.5
9,0.4722222222222222,0.5611111111111111,0.5722222222222222,0.5944444444444444,0.15555555555555556,0.38333333333333336,0.48333333333333334
10,0.5,0.5055555555555555,0.5666666666666667,0.5833333333333334,0.2111111111111111,0.34444444444444444,0.5
11,0.43333333333333335,0.5555555555555556,0.5388888888888889,0.5555555555555556,0.5055555555555555,0.39444444444444443,0.4888888888888889
12,0.5444444444444444,0.6333333333333333,0.5833333333333334,0.6,0.12777777777777777,0.29444444444444445,0.5055555555555555
13,0.4388888888888889,0.5722222222222222,0.5444444444444444,0.55,0.5055555555555555,0.42777777777777776,0.48333333333333334
14,0.5166666666666667,0.6444444444444445,0.6444444444444445,0.6111111111111112,0.12777777777777777,0.37777777777777777,0.5055555555555555
15,0.4888888888888889,0.5611111111111111,0.5666666666666667,0.5888888888888889,0.2111111111111111,0.34444444444444444,0.4888888888888889
16,0.38333333333333336,0.5,0.5277777777777778,0.5222222222222223,0.5055555555555555,0.28888888888888886,0.5
17,0.4444444444444444,0.5055555555555555,0.5555555555555556,0.5388888888888889,0.2111111111111111,0.3055555555555556,0.4666666666666667
18,0.46111111111111114,0.5444444444444444,0.5444444444444444,0.5611111111111111,0.12777777777777777,0.28888888888888886,0.49444444444444446
19,0.45555555555555555,0.5833333333333334,0.5666666666666667,0.5444444444444444,0.15555555555555556,0.4722222222222222,0.5
20,0.5222222222222223,0.5833333333333334,0.5833333333333334,0.5944444444444444,0.5055555555555555,0.4,0.5055555555555555
21,0.5222222222222223,0.5944444444444444,0.5666666666666667,0.5611111111111111,0.5055555555555555,0.40555555555555556,0.5055555555555555
22,0.46111111111111114,0.5611111111111111,0.5722222222222222,0.5722222222222222,0.12777777777777777,0.37222222222222223,0.5
23,0.46111111111111114,0.5444444444444444,0.5555555555555556,0.5777777777777777,0.12777777777777777,0.35555555555555557,0.49444444444444446
