,Accuracy(%),Accuracy(%),Accuracy(%),Accuracy(%),ROC-AUC,ROC-AUC,ROC-AUC,ROC-AUC
,minor,important,full,all,minor,important,full,all
AdaBoostClassifier,60.66±3.15,64.88±2.62,80.91±2.27,48.39±4.13,0.65±0.03,0.66±0.03,0.81±0.04,0.74±0.02
GradientBoostingClassifier,66.84±3.2,69.36±2.52,82.34±2.44,57.01±3.33,0.72±0.03,0.73±0.03,0.86±0.03,0.81±0.02
RandomForestClassifier,68.84±3.13,70.33±2.28,82.84±1.98,58.22±2.64,0.75±0.03,0.75±0.03,0.87±0.02,0.83±0.01
ExtraTreesClassifier,67.52±2.8,70.67±2.64,83.04±1.92,57.51±2.33,0.74±0.03,0.75±0.03,0.88±0.02,0.82±0.01
SupervisedDBNClassification,49.97±0.7,49.17±13.17,51.04±28.79,24.94±15.61,0.51±0.08,0.5±0.06,0.51±0.09,0.49±0.13
SVC,53.92±3.93,52.04±6.19,52.41±12.43,35.77±5.38,0.5±0.08,0.51±0.08,0.59±0.11,0.71±0.01
OrderedModel,64.5±4.8,64.74±2.33,78.72±0.63,49.87±1.13,0.69±0.05,0.7±0.04,0.68±0.04,0.74±0.01
